"governorate","district","hno_severity_coping_1","hno_severity_coping_1_min","hno_severity_coping_1_max","hno_severity_coping_2","hno_severity_coping_2_min","hno_severity_coping_2_max","hno_severity_coping_3","hno_severity_coping_3_min","hno_severity_coping_3_max","hno_severity_coping_4","hno_severity_coping_4_min","hno_severity_coping_4_max","hno_severity_coping_5","hno_severity_coping_5_min","hno_severity_coping_5_max","hno_severity_wellbeing_1","hno_severity_wellbeing_1_min","hno_severity_wellbeing_1_max","hno_severity_wellbeing_2","hno_severity_wellbeing_2_min","hno_severity_wellbeing_2_max","hno_severity_wellbeing_3","hno_severity_wellbeing_3_min","hno_severity_wellbeing_3_max","hno_severity_wellbeing_4","hno_severity_wellbeing_4_min","hno_severity_wellbeing_4_max","hno_severity_wellbeing_5","hno_severity_wellbeing_5_min","hno_severity_wellbeing_5_max","hno_severity_living_1","hno_severity_living_1_min","hno_severity_living_1_max","hno_severity_living_2","hno_severity_living_2_min","hno_severity_living_2_max","hno_severity_living_3","hno_severity_living_3_min","hno_severity_living_3_max","hno_severity_living_4","hno_severity_living_4_min","hno_severity_living_4_max","hno_severity_living_5","hno_severity_living_5_min","hno_severity_living_5_max","hno_severity_edu_1","hno_severity_edu_1_min","hno_severity_edu_1_max","hno_severity_edu_2","hno_severity_edu_2_min","hno_severity_edu_2_max","hno_severity_edu_3","hno_severity_edu_3_min","hno_severity_edu_3_max","hno_severity_edu_4","hno_severity_edu_4_min","hno_severity_edu_4_max","hno_severity_edu_5","hno_severity_edu_5_min","hno_severity_edu_5_max","hno_severity_food_1","hno_severity_food_1_min","hno_severity_food_1_max","hno_severity_food_2","hno_severity_food_2_min","hno_severity_food_2_max","hno_severity_food_3","hno_severity_food_3_min","hno_severity_food_3_max","hno_severity_food_4","hno_severity_food_4_min","hno_severity_food_4_max","hno_severity_food_5","hno_severity_food_5_min","hno_severity_food_5_max","hno_severity_health_1","hno_severity_health_1_min","hno_severity_health_1_max","hno_severity_health_2","hno_severity_health_2_min","hno_severity_health_2_max","hno_severity_health_3","hno_severity_health_3_min","hno_severity_health_3_max","hno_severity_health_4","hno_severity_health_4_min","hno_severity_health_4_max","hno_severity_health_5","hno_severity_health_5_min","hno_severity_health_5_max","hno_severity_livelihood_1","hno_severity_livelihood_1_min","hno_severity_livelihood_1_max","hno_severity_livelihood_2","hno_severity_livelihood_2_min","hno_severity_livelihood_2_max","hno_severity_livelihood_3","hno_severity_livelihood_3_min","hno_severity_livelihood_3_max","hno_severity_livelihood_4","hno_severity_livelihood_4_min","hno_severity_livelihood_4_max","hno_severity_livelihood_5","hno_severity_livelihood_5_min","hno_severity_livelihood_5_max","hno_severity_protection_1","hno_severity_protection_1_min","hno_severity_protection_1_max","hno_severity_protection_2","hno_severity_protection_2_min","hno_severity_protection_2_max","hno_severity_protection_3","hno_severity_protection_3_min","hno_severity_protection_3_max","hno_severity_protection_4","hno_severity_protection_4_min","hno_severity_protection_4_max","hno_severity_protection_5","hno_severity_protection_5_min","hno_severity_protection_5_max","hno_severity_shelter_1","hno_severity_shelter_1_min","hno_severity_shelter_1_max","hno_severity_shelter_2","hno_severity_shelter_2_min","hno_severity_shelter_2_max","hno_severity_shelter_3","hno_severity_shelter_3_min","hno_severity_shelter_3_max","hno_severity_shelter_4","hno_severity_shelter_4_min","hno_severity_shelter_4_max","hno_severity_shelter_5","hno_severity_shelter_5_min","hno_severity_shelter_5_max","hno_severity_wash_1","hno_severity_wash_1_min","hno_severity_wash_1_max","hno_severity_wash_2","hno_severity_wash_2_min","hno_severity_wash_2_max","hno_severity_wash_3","hno_severity_wash_3_min","hno_severity_wash_3_max","hno_severity_wash_4","hno_severity_wash_4_min","hno_severity_wash_4_max","hno_severity_wash_5","hno_severity_wash_5_min","hno_severity_wash_5_max"
"","","Inter-sectoral coping severity scores","","","Inter-sectoral coping severity scores","","","Inter-sectoral coping severity scores","","","Inter-sectoral coping severity scores","","","Inter-sectoral coping severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral living severity scores","","","Inter-sectoral living severity scores","","","Inter-sectoral living severity scores","","","Inter-sectoral living severity scores","","","Inter-sectoral living severity scores","","","Sectoral education severity scores","","","Sectoral education severity scores","","","Sectoral education severity scores","","","Sectoral education severity scores","","","Sectoral education severity scores","","","Sectoral food security severity scores","","","Sectoral food security severity scores","","","Sectoral food security severity scores","","","Sectoral food security severity scores","","","Sectoral food security severity scores","","","Sectoral health severity scores","","","Sectoral health severity scores","","","Sectoral health severity scores","","","Sectoral health severity scores","","","Sectoral health severity scores","","","Sectoral livelihood severity scores","","","Sectoral livelihood severity scores","","","Sectoral livelihood severity scores","","","Sectoral livelihood severity scores","","","Sectoral livelihood severity scores","","","Sectoral protection severity scores","","","Sectoral protection severity scores","","","Sectoral protection severity scores","","","Sectoral protection severity scores","","","Sectoral protection severity scores","","","Sectoral shelter severity scores","","","Sectoral shelter severity scores","","","Sectoral shelter severity scores","","","Sectoral shelter severity scores","","","Sectoral shelter severity scores","","","Sectoral WASH severity scores","","","Sectoral WASH severity scores","","","Sectoral WASH severity scores","","","Sectoral WASH severity scores","","","Sectoral WASH severity scores","",""
"","","% of HHs with an inter-sectoral severity  coping score of 1","","","% of HHs with an inter-sectoral severity  coping score of 2","","","% of HHs with an inter-sectoral severity  coping score of 3","","","% of HHs with an inter-sectoral severity  coping score of 4","","","% of HHs with an inter-sectoral severity  coping score of 5","","","% of HHs with an inter-sectoral severity  wellbeing score of 1","","","% of HHs with an inter-sectoral severity  wellbeing score of 2","","","% of HHs with an inter-sectoral severity  wellbeing score of 3","","","% of HHs with an inter-sectoral severity  wellbeing score of 4","","","% of HHs with an inter-sectoral severity  wellbeing score of 5","","","% of HHs with an inter-sectoral living score of 1","","","% of HHs with an inter-sectoral living score of 2","","","% of HHs with an inter-sectoral living score of 3","","","% of HHs with an inter-sectoral living score of 4","","","% of HHs with an inter-sectoral living score of 5","","","% of HHs with  sectoral education score of 1","","","% of HHs with  sectoral education score of 2","","","% of HHs with  sectoral education score of 3","","","% of HHs with  sectoral education score of 4","","","% of HHs with  sectoral education score of 5","","","% of HHs with  sectoral food security score of 1","","","% of HHs with  sectoral food security score of 2","","","% of HHs with  sectoral food security score of 3","","","% of HHs with  sectoral food security score of 4","","","% of HHs with  sectoral food security score of 5","","","% of HHs with  sectoral health score of 1","","","% of HHs with  sectoral health score of 2","","","% of HHs with  sectoral health score of 3","","","% of HHs with  sectoral health score of 4","","","% of HHs with  sectoral health score of 5","","","% of HHs with  sectoral livelihood score of 1","","","% of HHs with  sectoral livelihood score of 2","","","% of HHs with  sectoral livelihood score of 3","","","% of HHs with  sectoral livelihood score of 4","","","% of HHs with  sectoral livelihood score of 5","","","% of HHs with  sectoral protection score of 1","","","% of HHs with  sectoral protection score of 2","","","% of HHs with  sectoral protection score of 3","","","% of HHs with  sectoral protection score of 4","","","% of HHs with  sectoral protection score of 5","","","% of HHs with  sectoral shelter score of 1","","","% of HHs with  sectoral shelter score of 2","","","% of HHs with  sectoral shelter score of 3","","","% of HHs with  sectoral shelter score of 4","","","% of HHs with  sectoral shelter score of 5","","","% of HHs with  sectoral wash score of 1","","","% of HHs with  sectoral wash score of 2","","","% of HHs with  sectoral wash score of 3","","","% of HHs with  sectoral wash score of 4","","","% of HHs with  sectoral wash score of 5","",""
"","","% of HHs with an inter-sectoral severity coping score of 1","","","% of HHs with an inter-sectoral severity coping score of 2","","","% of HHs with an inter-sectoral severity coping score of 3","","","% of HHs with an inter-sectoral severity coping score of 4","","","% of HHs with an inter-sectoral severity coping score of 5","","","% of HHs with an inter-sectoral severity wellbeing  score of 1","","","% of HHs with an inter-sectoral severity wellbeing  score of 2","","","% of HHs with an inter-sectoral severity wellbeing  score of 3","","","% of HHs with an inter-sectoral severity wellbeing  score of 4","","","% of HHs with an inter-sectoral severity wellbeing  score of 5","","","% of HHs with an inter-sectoral severity living score of 1","","","% of HHs with an inter-sectoral severity living score of 2","","","% of HHs with an inter-sectoral severity living score of 3","","","% of HHs with an inter-sectoral severity living score of 4","","","% of HHs with an inter-sectoral severity living score of 5","","","% of HHs with  sectoral severity education score of 1","","","% of HHs with  sectoral severity education score of 2","","","% of HHs with  sectoral severity education score of 3","","","% of HHs with  sectoral severity education score of 4","","","% of HHs with  sectoral severity education score of 5","","","% of HHs with  sectoral severity food security score of 1","","","% of HHs with  sectoral severity food security score of 2","","","% of HHs with  sectoral severity food security score of 3","","","% of HHs with  sectoral severity food security score of 4","","","% of HHs with  sectoral severity food security score of 5","","","% of HHs with  sectoral severity health score of 1","","","% of HHs with  sectoral severity health score of 2","","","% of HHs with  sectoral severity health score of 3","","","% of HHs with  sectoral severity health score of 4","","","% of HHs with  sectoral severity health score of 5","","","% of HHs with  sectoral severity livelihood score of 1","","","% of HHs with  sectoral severity livelihood score of 2","","","% of HHs with  sectoral severity livelihood score of 3","","","% of HHs with  sectoral severity livelihood score of 4","","","% of HHs with  sectoral severity livelihood score of 5","","","% of HHs with  sectoral severity protection score of 1","","","% of HHs with  sectoral severity protection score of 2","","","% of HHs with  sectoral severity protection score of 3","","","% of HHs with  sectoral severity protection score of 4","","","% of HHs with  sectoral severity protection score of 5","","","% of HHs with  sectoral severity shelter score of 1","","","% of HHs with  sectoral severity shelter score of 2","","","% of HHs with  sectoral severity shelter score of 3","","","% of HHs with  sectoral severity shelter score of 4","","","% of HHs with  sectoral severity shelter score of 5","","","% of HHs with  sectoral severity wash score of 1","","","% of HHs with  sectoral severity wash score of 2","","","% of HHs with  sectoral severity wash score of 3","","","% of HHs with  sectoral severity wash score of 4","","","% of HHs with  sectoral severity wash score of 5","",""
"","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","",""
NA,"Area A & B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Area C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deir al-Balah","Deir al-Balah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaza","Gaza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H2","H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Khan Yunis","Khan Yunis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rafah","Rafah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"East Jerusalem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"North Gaza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
